127.0.0.1, 2014-03-23 19:34:51, GET, /, HTTP/1.1, 303, 0.001862
127.0.0.1, 2014-03-23 19:34:51, GET, /welcome/default/index, HTTP/1.1, 200, 0.327552
127.0.0.1, 2014-03-23 19:34:51, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.003129
127.0.0.1, 2014-03-23 19:34:51, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002120
127.0.0.1, 2014-03-23 19:34:51, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.001190
127.0.0.1, 2014-03-23 19:34:51, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.006715
127.0.0.1, 2014-03-23 19:34:51, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.007177
127.0.0.1, 2014-03-23 19:34:51, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000411
127.0.0.1, 2014-03-23 19:34:51, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.003610
127.0.0.1, 2014-03-23 19:34:51, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001553
127.0.0.1, 2014-03-23 19:34:51, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000762
127.0.0.1, 2014-03-23 19:34:51, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001466
127.0.0.1, 2014-03-23 19:34:51, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002537
127.0.0.1, 2014-03-23 19:34:51, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000330
127.0.0.1, 2014-03-23 19:34:53, GET, /admin/default/index, HTTP/1.1, 200, 0.180513
127.0.0.1, 2014-03-23 19:34:53, GET, /admin/static/_2.9.5/js/jquery.js, HTTP/1.1, 200, 0.001659
127.0.0.1, 2014-03-23 19:34:53, GET, /admin/static/_2.9.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001577
127.0.0.1, 2014-03-23 19:34:53, GET, /admin/static/_2.9.5/css/calendar.css, HTTP/1.1, 200, 0.006477
127.0.0.1, 2014-03-23 19:34:53, GET, /admin/static/_2.9.5/js/web2py.js, HTTP/1.1, 200, 0.008014
127.0.0.1, 2014-03-23 19:34:53, GET, /admin/static/_2.9.5/js/calendar.js, HTTP/1.1, 200, 0.005615
127.0.0.1, 2014-03-23 19:34:53, GET, /admin/static/_2.9.5/css/bootstrap.min.css, HTTP/1.1, 200, 0.000537
127.0.0.1, 2014-03-23 19:34:53, GET, /admin/static/_2.9.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.002436
127.0.0.1, 2014-03-23 19:34:53, GET, /admin/static/_2.9.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001124
